,Unnamed: 0,Airline,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
0,0,Jet Airways,Banglore,Delhi,18:55,22:00,3h 5m,non-stop,7229
1,1,Multiple carriers,Delhi,Cochin,10:20,01:30 22 May,15h 10m,1 stop,7485
2,2,IndiGo,Banglore,Delhi,18:55,21:50,2h 55m,non-stop,4823
3,3,Air India,Delhi,Cochin,05:55,07:40 07 Mar,25h 45m,2 stops,14641
4,4,SpiceJet,Kolkata,Banglore,06:55,09:30,2h 35m,non-stop,3841
5,5,Jet Airways,Kolkata,Banglore,21:10,10:05 22 May,12h 55m,1 stop,8586
6,6,Jet Airways,Kolkata,Banglore,09:35,18:00,8h 25m,1 stop,14151
7,7,IndiGo,Mumbai,Hyderabad,19:05,20:30,1h 25m,non-stop,2754
8,8,Vistara,Delhi,Cochin,06:00,09:10,3h 10m,non-stop,6216
9,9,Jet Airways,Delhi,Cochin,23:05,04:25 20 May,29h 20m,2 stops,15129
10,10,IndiGo,Kolkata,Banglore,21:25,00:05 22 Jun,2h 40m,non-stop,4804
11,11,IndiGo,Kolkata,Banglore,22:10,00:55 16 Mar,2h 45m,non-stop,4148
12,12,Jet Airways,Kolkata,Banglore,20:25,14:25 25 May,18h,1 stop,12121
13,13,IndiGo,Banglore,New Delhi,07:10,10:05,2h 55m,non-stop,6144
14,14,Jet Airways,Kolkata,Banglore,21:10,10:05 02 May,12h 55m,1 stop,10844
15,15,Multiple carriers,Delhi,Cochin,08:00,19:15,11h 15m,1 stop,15058
16,16,SpiceJet,Banglore,Delhi,21:10,00:05 07 Jun,2h 55m,non-stop,3257
17,17,Jet Airways,Banglore,New Delhi,05:45,00:45 19 Mar,19h,1 stop,7832
18,18,Air India,Delhi,Cochin,05:10,08:00,2h 50m,non-stop,6934
19,19,IndiGo,Mumbai,Hyderabad,12:00,13:25,1h 25m,non-stop,3175
20,20,Multiple carriers,Delhi,Cochin,07:30,19:00,11h 30m,1 stop,9315
21,21,Jet Airways,Delhi,Cochin,08:00,18:50,10h 50m,1 stop,6068
22,22,Jet Airways,Kolkata,Banglore,06:30,22:35,16h 5m,1 stop,13339
23,23,Jet Airways,Kolkata,Banglore,17:00,18:00 07 May,25h,1 stop,9314
24,24,IndiGo,Banglore,Delhi,06:05,08:50,2h 45m,non-stop,3943
25,25,SpiceJet,Delhi,Cochin,08:45,13:15,4h 30m,1 stop,4812
26,26,Multiple carriers,Delhi,Cochin,12:50,21:00,8h 10m,1 stop,7005
27,27,Jet Airways,Delhi,Cochin,19:10,19:00 10 May,23h 50m,2 stops,15129
28,28,Jet Airways,Kolkata,Banglore,05:45,18:15,12h 30m,1 stop,10844
29,29,Jet Airways,Banglore,New Delhi,11:40,11:25 02 Mar,23h 45m,1 stop,25735
30,30,Air Asia,Banglore,Delhi,11:10,13:55,2h 45m,non-stop,4483
31,31,Air India,Kolkata,Banglore,09:10,11:05 25 May,25h 55m,2 stops,6117
32,32,Jet Airways,Delhi,Cochin,06:20,19:45 28 Mar,37h 25m,2 stops,9296
33,33,Multiple carriers,Delhi,Cochin,10:00,19:15,9h 15m,1 stop,11446
34,34,Multiple carriers,Delhi,Cochin,06:00,19:00,13h,1 stop,13259
35,35,Jet Airways,Delhi,Cochin,19:45,12:35 22 May,16h 50m,1 stop,12898
36,36,IndiGo,Delhi,Cochin,15:00,01:30 02 Jun,10h 30m,1 stop,6628
37,37,Air India,Kolkata,Banglore,20:45,23:20,2h 35m,non-stop,4145
38,38,Jet Airways,Kolkata,Banglore,18:55,19:50 02 Apr,24h 55m,1 stop,12681
39,39,Multiple carriers,Delhi,Cochin,13:00,01:30 19 May,12h 30m,1 stop,9385
40,40,IndiGo,Delhi,Cochin,04:55,21:00,16h 5m,1 stop,6979
41,41,Jet Airways,Delhi,Cochin,20:55,04:25 04 Jun,7h 30m,1 stop,14714
42,42,IndiGo,Delhi,Cochin,05:05,16:10,11h 5m,1 stop,6818
43,43,Air India,Delhi,Cochin,10:55,19:15,8h 20m,2 stops,11753
44,44,Jet Airways,Kolkata,Banglore,09:35,22:05,12h 30m,1 stop,12692
45,45,Multiple carriers,Delhi,Cochin,11:40,19:15,7h 35m,1 stop,6953
46,46,Jet Airways,Delhi,Cochin,05:30,19:00,13h 30m,2 stops,15129
47,47,SpiceJet,Banglore,Delhi,09:30,12:20,2h 50m,non-stop,3625
48,48,Jet Airways,Delhi,Cochin,18:15,12:35 10 Jun,18h 20m,1 stop,10577
49,49,Multiple carriers,Delhi,Cochin,07:05,19:15,12h 10m,1 stop,12927
50,50,SpiceJet,Banglore,Delhi,05:55,08:35,2h 40m,non-stop,3971
51,51,Air India,Delhi,Cochin,13:00,19:15,6h 15m,1 stop,8372
